,key,PR
0,990,0.040477504
2,1012,0.042645039
3,103940,0.064085183
4,1039,0.050950938
6,1100,0.04719673
7,1101,0.043907129
8,1140,0.048977432
9,14875,0.065541553
10,1163,0.040477504
11,100369,0.38963100700000003
12,1186,0.060429452
13,9403,0.1397827
14,1206,0.042146170999999996
15,100350,0.100340338
16,1207,0.040477504
18,1210,0.040477504
19,58878,0.04634462599999999
20,1221,0.043720893
21,34914,0.106681535
22,1224,0.040914681
23,1215,0.040662354
24,1271,0.040477504
25,102285,0.052726732000000005
26,1274,0.040477504
27,1084,0.049260998
28,1277,0.040477504
29,1275,0.040733916
30,1283,0.041323319
31,1284,0.044758837999999995
32,1282,0.041069193999999996
33,1276,0.040683807999999995
34,1286,0.04130029
35,1288,0.041317049
41,1087,0.067445872
45,1000,0.047906312
52,44267,0.042380873
57,977,0.04285623
62,1093,0.064886262
63,1086,0.042199665
68,9393,0.056792042
73,58450,0.050601586
76,105432,0.042509542000000004
78,44260,0.159820467
81,1148,0.048932196
87,1020,0.086388782
94,52374,0.130041181
102,45727,0.06547870900000001
104,1124,0.041925578
105,1066,0.041565027000000004
107,34930,0.05647106599999999
112,1123,0.04121973
113,104534,0.043576057
115,1083,0.0561868
117,21581,0.040477504
122,1168,0.121447371
124,9195,0.07658572
126,1171,0.047902886
128,1164,0.044852625
136,58891,0.06148497
138,58927,0.043562843
140,1211,0.05129345
141,44213,0.049982825999999994
153,34932,0.06528041400000001
154,34889,0.104789621
159,1160,0.045463118
160,104561,0.047509163
162,102298,0.11127021699999999
164,102299,0.051994720999999994
170,1220,0.061508362999999996
172,102274,0.050356935
181,58882,0.042438459000000005
182,49620,0.040738397
184,58924,0.051164923
189,58889,0.041258447000000004
193,1009,0.05397922
195,1015,0.061033856
199,58886,0.04825182
204,58912,0.051033499
207,58926,0.040990289
209,1034,0.047425924
215,21340,0.06657301
216,72213,0.042007307
219,104571,0.21668204100000002
225,34916,0.050118888
227,34954,0.06917944599999999
228,49674,0.044741709000000005
229,21298,0.082734086
230,9308,0.052435144
241,52378,0.041578925
243,97850,0.071490661
247,34904,0.080984868
254,45765,0.059363254000000004
256,34861,0.110328068
259,1191,0.057369567999999996
260,34938,0.18714550800000002
267,34851,0.062234059
272,34974,0.145403493
273,34873,0.049528802000000004
277,9330,0.078304791
279,9423,0.167082793
282,97854,0.04205181400000001
288,9220,0.049248625
290,14939,0.041711232
295,104570,0.052843925
326,49691,0.044366641
