key,PR
4,1.46E-05
39023,1.48E-05
27,2.28E-05
104625,9.98E-05
28,8.79E-06
104675,1.60E-05
35,1.05E-05
38841,1.29E-05
36,1.04E-05
40,8.41E-06
104657,1.36E-05
56,8.27E-06
39016,9.57E-06
58,8.27E-06
44032,1.04E-05
69,1.05E-05
39078,1.62E-05
72,1.43E-05
94090,1.35E-05
86,8.69E-06
39098,8.37E-06
115,8.27E-06
38814,1.12E-05
142,8.27E-06
105521,8.39E-06
147,8.46E-06
104592,1.10E-05
184,8.27E-06
38822,1.47E-05
190,9.30E-06
38799,8.63E-06
197,8.48E-06
38824,1.01E-05
212,9.40E-06
57901,1.73E-05
225,8.81E-06
38800,2.15E-05
233,8.27E-06
38809,1.04E-05
237,8.27E-06
77,9.46E-06
183,8.27E-06
238,8.27E-06
38823,8.65E-06
240,8.27E-06
116,8.62E-06
241,8.27E-06
8,8.66E-06
242,8.75E-06
114,1.27E-05
244,8.27E-06
104012,9.00E-06
245,1.08E-05
38815,1.06E-05
247,8.27E-06
39096,9.58E-06
248,8.32E-06
171,1.04E-05
58847,8.32E-06
249,1.58E-05
38828,1.04E-05
254,8.32E-06
221,1.23E-05
58844,2.08E-05
256,1.87E-05
45463,2.19E-05
268,1.51E-05
45493,1.90E-05
269,1.39E-05
34583,1.04E-05
271,1.82E-05
88304,1.47E-05
14314,9.05E-06
275,8.27E-06
14208,2.07E-05
45464,3.55E-05
276,1.18E-05
58824,1.31E-05
214,1.11E-05
226,1.55E-05
279,8.32E-06
14232,1.02E-05
88306,8.76E-06
281,1.59E-05
39066,2.43E-05
286,9.08E-06
45,1.02E-05
289,1.15E-05
101677,1.29E-05
293,8.27E-06
55754,8.35E-06
299,8.27E-06
39025,1.48E-05
301,8.27E-06
8733,1.82E-05
8679,1.97E-05
303,8.66E-06
218,9.09E-06
304,8.32E-06
38969,1.88E-05
38973,1.81E-05
305,8.88E-06
38965,1.00E-05
44045,9.23E-06
309,1.03E-05
45410,8.74E-06
310,8.99E-06
49509,8.32E-06
315,1.00E-05
38979,1.41E-05
317,8.27E-06
38971,1.25E-05
319,8.37E-06
39009,1.04E-05
39126,9.82E-06
320,8.86E-06
38956,9.18E-06
322,1.22E-05
14,9.63E-06
326,9.37E-06
29,1.66E-05
328,9.96E-06
18,1.05E-05
330,1.30E-05
44066,1.14E-05
101738,7.47E-05
44034,8.85E-06
332,2.48E-05
337,2.30E-05
39124,2.02E-05
343,8.32E-06
101691,1.33E-05
344,8.32E-06
44049,1.44E-05
34573,8.90E-06
347,1.04E-05
8653,6.05E-05
20082,1.01E-05
354,1.12E-05
20225,2.37E-05
104719,2.51E-05
121703,1.92E-05
8727,1.44E-05
361,8.37E-06
105497,1.43E-05
363,1.21E-05
365,8.39E-06
39058,1.04E-05
39421,9.14E-06
39451,9.04E-06
369,8.27E-06
38914,1.04E-05
371,8.50E-06
378,8.27E-06
39053,1.01E-05
379,8.27E-06
161,9.40E-06
381,8.57E-06
39458,1.29E-05
382,8.27E-06
383,8.27E-06
386,8.27E-06
14315,8.37E-06
387,1.06E-05
45469,1.12E-05
88517,1.53E-05
389,1.17E-05
98364,1.12E-05
390,1.69E-05
39072,9.70E-06
14273,3.15E-05
391,1.33E-05
39081,1.42E-05
14249,1.63E-05
393,9.97E-06
58856,9.14E-06
395,8.27E-06
89,8.71E-06
397,8.56E-06
94,8.88E-06
402,8.90E-06
403,8.32E-06
404,8.27E-06
39097,8.27E-06
409,8.27E-06
118,1.27E-05
411,8.27E-06
78,9.76E-06
418,8.32E-06
121725,1.55E-05
121714,1.49E-05
423,1.63E-05
59374,2.89E-05
103,8.32E-06
39022,1.05E-05
426,1.07E-05
38794,1.69E-05
427,1.01E-05
428,8.27E-06
12,1.01E-05
44056,1.12E-05
430,8.27E-06
38812,8.62E-06
433,8.55E-06
434,8.27E-06
38825,1.41E-05
439,8.27E-06
8566,9.06E-06
39110,8.89E-06
440,8.27E-06
44054,1.37E-05
441,8.81E-06
39122,1.61E-05
443,8.43E-06
57,1.02E-05
44030,8.62E-06
444,1.12E-05
59369,9.90E-06
34655,9.11E-06
445,9.89E-06
38816,9.85E-06
446,8.27E-06
451,1.32E-05
39119,1.50E-05
44060,1.54E-05
453,8.32E-06
39120,1.15E-05
39133,1.27E-05
454,1.16E-05
49519,9.67E-06
455,8.63E-06
229,1.02E-05
456,2.51E-05
44139,1.16E-05
44063,9.79E-06
461,8.27E-06
464,8.27E-06
39055,1.03E-05
201,1.13E-05
44041,1.01E-05
467,8.36E-06
39091,1.16E-05
469,8.91E-06
187,8.54E-06
472,8.78E-06
477,8.32E-06
100619,3.10E-05
478,8.32E-06
104671,8.32E-06
481,9.75E-06
45370,9.61E-06
64,9.31E-06
487,8.32E-06
88299,3.78E-05
14231,1.35E-05
44068,1.89E-05
14216,3.18E-05
493,8.27E-06
55767,8.30E-06
496,8.27E-06
14325,8.36E-06
497,8.27E-06
20136,1.06E-05
498,9.73E-06
59386,1.32E-05
503,1.09E-05
39044,8.27E-06
504,8.54E-06
44058,9.77E-06
505,8.27E-06
55740,1.08E-05
510,8.27E-06
43138,2.12E-05
515,8.27E-06
39070,9.62E-06
525,8.27E-06
531,8.27E-06
104037,1.17E-05
534,8.27E-06
14247,1.71E-05
94088,9.35E-06
546,8.27E-06
555,8.27E-06
180,9.57E-06
556,8.27E-06
98,1.15E-05
558,8.32E-06
561,8.32E-06
101632,9.95E-06
565,8.27E-06
567,8.27E-06
59350,2.03E-05
8746,1.39E-05
580,8.27E-06
39073,1.35E-05
583,8.32E-06
20234,2.80E-05
590,8.27E-06
102,8.27E-06
600,8.27E-06
101774,2.61E-05
611,8.27E-06
366,1.16E-05
199,8.82E-06
612,8.28E-06
39529,8.42E-06
613,8.38E-06
617,8.27E-06
165,8.43E-06
618,8.27E-06
105514,1.67E-05
620,1.06E-05
49507,1.09E-05
621,8.38E-06
44128,9.25E-06
625,8.27E-06
629,8.38E-06
44069,8.27E-06
630,8.27E-06
224,9.56E-06
631,8.28E-06
632,1.43E-05
38827,8.42E-06
633,9.56E-06
634,8.78E-06
39334,8.94E-06
635,1.17E-05
636,1.03E-05
39579,1.13E-05
39594,8.74E-06
640,9.13E-06
38805,1.02E-05
641,8.27E-06
413,8.70E-06
8892,1.18E-05
39107,1.18E-05
642,1.07E-05
643,9.23E-06
49466,9.41E-06
645,1.38E-05
39587,1.73E-05
646,8.28E-06
168,1.10E-05
44101,1.06E-05
647,8.27E-06
101771,1.31E-05
648,8.27E-06
44010,1.70E-05
44107,8.72E-06
649,8.79E-06
44026,1.38E-05
650,8.27E-06
651,8.83E-06
652,9.39E-06
655,8.27E-06
44099,1.50E-05
656,8.28E-06
44208,8.94E-06
657,1.03E-05
44055,1.51E-05
34564,1.55E-05
658,8.28E-06
100369,7.97E-05
97808,1.14E-05
659,8.28E-06
39179,1.04E-05
660,1.91E-05
661,8.48E-06
258,8.61E-06
664,8.27E-06
49553,9.73E-06
666,9.38E-06
38991,1.04E-05
667,8.59E-06
88318,1.53E-05
668,9.26E-06
39280,1.18E-05
671,9.88E-06
672,1.52E-05
39079,1.31E-05
674,8.28E-06
947,9.88E-06
685,8.27E-06
14457,3.25E-05
686,8.27E-06
210,9.63E-06
689,8.27E-06
14303,1.05E-05
695,8.28E-06
20333,1.02E-05
20552,9.37E-06
109520,9.74E-06
696,1.23E-05
273,8.45E-06
697,8.27E-06
698,8.27E-06
700,8.40E-06
2767,8.51E-06
701,8.46E-06
39569,9.72E-06
704,8.27E-06
294,9.05E-06
296,1.10E-05
300,8.49E-06
708,9.09E-06
39224,1.06E-05
49469,8.53E-06
710,9.00E-06
49462,9.24E-06
49464,8.88E-06
712,8.27E-06
49472,8.86E-06
716,8.27E-06
719,8.27E-06
38803,9.68E-06
250,1.26E-05
720,8.27E-06
49475,9.26E-06
178,8.64E-06
721,9.86E-06
722,8.39E-06
38859,8.99E-06
724,8.28E-06
39294,1.02E-05
725,8.28E-06
39193,1.04E-05
727,8.28E-06
107932,8.94E-06
728,1.11E-05
39212,4.84E-05
731,8.58E-06
732,1.44E-05
39251,9.76E-06
39295,8.64E-06
733,8.27E-06
735,8.67E-06
38811,8.53E-06
739,8.28E-06
39138,9.68E-06
741,8.27E-06
38975,1.32E-05
742,8.27E-06
156,8.49E-06
331,8.46E-06
743,1.01E-05
38983,2.51E-05
58825,1.27E-05
746,8.43E-06
58839,1.02E-05
747,1.39E-05
748,8.27E-06
375,1.06E-05
49483,9.81E-06
749,9.11E-06
752,8.34E-06
753,8.28E-06
39277,1.25E-05
754,9.36E-06
757,8.28E-06
39247,1.38E-05
58813,8.62E-06
38989,1.50E-05
758,8.28E-06
39270,1.37E-05
760,9.64E-06
761,8.27E-06
