key,paperYear
25893,2015
99102,2015
106990,2015
107028,2015
103357,2015
111102,2015
116441,2015
103416,2015
99219,2015
107035,2015
114489,2015
106982,2015
11773,2015
103285,2015
114468,2015
114389,2015
103315,2015
11534,2015
103307,2015
114509,2015
99151,2015
120712,2015
103262,2015
103351,2015
120665,2015
103380,2015
103385,2015
103313,2015
114504,2015
107037,2015
120648,2015
99222,2015
107019,2015
116418,2015
107026,2015
4134,2015
99214,2015
106942,2015
116455,2015
103323,2015
103354,2015
103430,2015
106995,2015
11554,2015
103383,2015
99111,2015
103371,2015
106980,2015
103394,2015
111105,2015
103293,2015
114497,2015
25878,2015
65720,2015
36362,2015
114433,2015
114459,2015
107069,2015
120641,2015
103373,2015
11922,2015
120672,2015
103284,2015
114449,2015
120605,2015
120631,2015
120650,2015
107074,2015
120720,2015
11783,2015
99171,2015
114406,2015
99220,2015
99192,2015
11858,2015
93595,2015
99175,2015
103327,2015
108641,2015
114453,2015
114494,2015
17693,2015
103339,2015
93523,2015
103311,2015
11889,2015
116488,2015
117209,2015
108646,2015
107058,2015
111138,2015
103335,2015
106938,2015
103390,2015
114422,2015
114379,2015
103396,2015
99128,2015
103270,2015
120676,2015
103418,2015
120730,2015
103290,2015
99172,2015
90240,2015
106960,2015
103281,2015
114431,2015
4071,2015
116449,2015
114371,2015
114505,2015
103267,2015
103329,2015
107072,2015
3866,2015
66795,2015
82156,2015
110263,2015
3973,2015
103308,2015
103399,2015
106972,2015
106934,2015
111121,2015
120647,2015
114376,2015
114452,2015
116419,2015
120618,2015
120724,2015
108694,2015
96547,2015
103382,2015
107066,2015
114428,2015
114385,2015
107022,2015
103336,2015
3721,2015
120691,2015
103317,2015
3892,2015
103381,2015
104146,2015
103391,2015
103378,2015
104908,2015
117210,2015
114499,2015
114492,2015
103265,2015
103421,2015
110209,2015
3483,2015
103260,2015
103304,2015
17513,2015
11569,2015
82118,2015
106930,2015
3843,2015
106962,2015
108645,2015
103338,2015
82652,2015
82225,2015
26333,2015
4045,2015
114460,2015
108657,2015
3636,2015
116479,2015
120690,2015
103302,2015
60239,2015
107018,2015
114384,2015
114350,2015
65686,2015
117247,2015
120591,2015
114506,2015
103325,2015
114462,2015
108699,2015
114429,2015
103406,2015
107064,2015
103274,2015
99163,2015
114432,2015
120600,2015
99191,2015
117263,2015
111103,2015
114478,2015
82603,2015
93546,2015
106946,2015
82633,2015
103366,2015
117214,2015
32301,2015
114472,2015
120675,2015
120568,2015
69099,2015
120673,2015
107059,2015
99089,2015
107060,2015
3586,2015
103283,2015
99231,2015
99096,2015
114359,2015
114377,2015
99084,2015
111092,2015
111093,2015
103263,2015
3619,2015
116439,2015
3818,2015
25939,2015
60186,2015
99178,2015
103423,2015
31821,2015
106947,2015
108675,2015
11634,2015
114373,2015
25952,2015
103411,2015
3545,2015
99141,2015
4131,2015
82562,2015
111100,2015
114398,2015
114470,2015
17443,2015
17462,2015
17660,2015
17676,2015
17741,2015
25700,2015
25875,2015
25881,2015
25886,2015
25990,2015
26094,2015
26148,2015
26312,2015
26340,2015
31810,2015
31846,2015
32094,2015
32291,2015
32293,2015
32383,2015
36395,2015
36406,2015
36476,2015
36520,2015
36600,2015
40273,2015
43614,2015
44909,2015
44918,2015
44951,2015
46947,2015
47048,2015
56086,2015
60180,2015
60233,2015
63876,2015
65534,2015
65554,2015
65585,2015
65721,2015
65723,2015
65745,2015
65749,2015
69087,2015
82110,2015
82115,2015
82122,2015
82123,2015
82124,2015
82127,2015
82128,2015
82132,2015
82136,2015
82153,2015
82182,2015
82185,2015
82188,2015
82196,2015
82218,2015
82235,2015
82238,2015
82239,2015
82241,2015
82273,2015
82275,2015
82276,2015
82286,2015
82311,2015
82334,2015
82338,2015
82387,2015
82400,2015
82403,2015
82461,2015
82472,2015
82493,2015
82528,2015
82607,2015
82620,2015
82623,2015
82629,2015
82630,2015
89890,2015
89977,2015
90129,2015
90159,2015
90212,2015
90225,2015
90242,2015
90266,2015
90308,2015
90389,2015
