key,cited_num,pr,fi,div,dfk,exp_dfk
26944,5186,2.068773962,1.1222438,0.946755431,0.000237966,1.000237995
10375,5294,2.04692211,1.471176838,0.575878263,0.000230962,1.000230988
10985,2366,1.224348551,0.769969271,0.454824157,0.000978608,1.000979087
36555,1957,1.147054901,0.670922339,0.476873179,0.001554277,1.001555485
19926,2954,1.070072978,0.983108465,0.087016307,0.000595397,1.000595575
46728,2183,0.905356906,0.505080788,0.400774489,0.001244293,1.001245068
25472,1642,0.80174537,0.395202524,0.40755102,0.002476802,1.002479872
25625,1835,0.740138904,0.33980779,0.401129077,0.001991274,1.001993258
11290,2077,0.723847725,0.38330208,0.341013623,0.001373257,1.0013742
25926,1838,0.709857817,0.366986146,0.343612851,0.002159351,1.002161685
20540,1331,0.702516309,0.59210216,0.110705263,0.002633095,1.002636564
11535,1788,0.679076205,0.377992701,0.301606263,0.001734752,1.001736258
53747,1523,0.601376895,0.33176506,0.27033955,0.002695484,1.00269912
46747,1253,0.591775736,0.337607615,0.255045671,0.003446691,1.003452638
11344,1663,0.557264815,0.317548402,0.240227834,0.002131167,1.00213344
13059,1059,0.546546306,0.308735736,0.239014797,0.005051028,1.005063806
22208,2297,0.530430949,0.486234611,0.044245776,0.001117972,1.001118597
101050,1589,0.519018095,0.259287416,0.26039104,0.002539258,1.002542485
100197,1251,0.498715962,0.344675491,0.154624991,0.003787405,1.003794586
32147,618,0.453931937,0.226024718,0.23177585,0.01683213,1.016974589
46749,904,0.44288545,0.254312276,0.189832619,0.00665661,1.006678814
32211,1059,0.43196545,0.192830039,0.240576432,0.006007877,1.00602596
46522,617,0.413190138,0.254634929,0.160744336,0.013712275,1.01380672
53606,516,0.384595262,0.182313599,0.207359931,0.024794984,1.025104936
97474,791,0.382194061,0.269371031,0.11364254,0.007237419,1.007263672
97518,827,0.381562142,0.255877381,0.126841795,0.009163725,1.009205841
98353,666,0.378380372,0.230956238,0.149828424,0.016177099,1.016308657
99968,544,0.35778352,0.208226276,0.152876187,0.021949139,1.022191793
24139,245,0.331396116,0.157613991,0.194439769,0.112320084,1.118870936
11443,697,0.331058229,0.166165512,0.166964417,0.012485657,1.012563928
20539,534,0.326111837,0.245559071,0.082230877,0.020618422,1.02083245
53536,830,0.314197838,0.173580486,0.141775223,0.008200479,1.008234195
100636,573,0.309601449,0.225028973,0.086281193,0.020002783,1.020204179
26567,699,0.29914782,0.152781331,0.148194549,0.012412257,1.012489609
21522,668,0.288550518,0.187371854,0.102619838,0.014143365,1.014243856
27162,681,0.286624435,0.12799922,0.161090266,0.015420588,1.015540099
91773,555,0.278123629,0.127985173,0.153870827,0.024555559,1.02485953
101221,552,0.269043335,0.141025866,0.130600507,0.019976371,1.020177234
21430,428,0.268880738,0.204180167,0.06669957,0.030428486,1.030896164
11641,546,0.263966005,0.151705774,0.11441341,0.018998624,1.019180246
26212,710,0.257637077,0.119683702,0.139732401,0.012813409,1.012895852
35169,807,0.257189607,0.187198798,0.070682033,0.00982748,1.009875928
53178,498,0.25637713,0.160929529,0.097914225,0.02551442,1.025842699
36472,801,0.25627831,0.142329253,0.115141159,0.010407364,1.010461709
24492,339,0.251224279,0.13639974,0.121826602,0.059193521,1.060980543
59631,832,0.249850403,0.215971238,0.034175477,0.008708113,1.008746138
35918,347,0.244871018,0.166451926,0.082702722,0.053185094,1.054624831
34919,602,0.241411069,0.162183684,0.080867077,0.020484771,1.020696024
17112,666,0.238697546,0.134474268,0.105223894,0.0095549,1.009600694
18072,457,0.234890966,0.132089269,0.105542248,0.02630947,1.026658619
93318,438,0.232938585,0.114589669,0.12229552,0.032803232,1.03334719
31530,483,0.231417812,0.114800076,0.119805021,0.026964228,1.027331052
27522,791,0.229295202,0.112745307,0.117844127,0.011043332,1.011104535
20903,428,0.229075614,0.173844965,0.056842967,0.028774459,1.029192443
7615,6,0.226517186,0.102201734,0.183978477,0.391996473,1.479932492
31893,433,0.22547078,0.111501884,0.11796155,0.034433153,1.035032837
22094,451,0.225254221,0.129132761,0.099262571,0.032155968,1.032678558
25152,112,0.221000282,0.107918093,0.189895753,0.518360362,1.679271992
36101,603,0.220462669,0.101070004,0.121787523,0.019860147,1.020058672
98549,597,0.218993671,0.11510203,0.105793113,0.018136982,1.018302456
54430,476,0.218369785,0.126362443,0.094531427,0.027063957,1.027433512
54237,769,0.216258452,0.108695818,0.108545867,0.009099498,1.009141025
52074,708,0.214812533,0.160268,0.055269154,0.013197477,1.013284948
100688,424,0.21350463,0.155445516,0.060074083,0.034116814,1.034705468
36154,532,0.212044113,0.083952615,0.131022178,0.022621768,1.022879581
17580,167,0.204863851,0.123943949,0.097605994,0.187479109,1.20620505
8653,711,0.203015954,0.195257742,0.007841071,0.010623591,1.010680222
12108,515,0.202937302,0.114165555,0.090549182,0.019824721,1.020022536
97945,455,0.200246431,0.10715265,0.096022649,0.030976711,1.031461482
89560,372,0.199963222,0.092155847,0.11392,0.055150381,1.05669951
22364,427,0.199526869,0.120728826,0.081670963,0.035810362,1.036459276
26609,482,0.199219443,0.102377624,0.099211515,0.024175169,1.024469757
32109,552,0.198996557,0.092601322,0.108726525,0.021674996,1.021911605
54627,404,0.197235668,0.102034301,0.098954144,0.038662247,1.039419357
